,Image,F1,Jaccard,Recall,Precision
413,images\954.png,0.9025069637883009,0.8223350253807107,0.9529411764705882,0.8571428571428571
414,images\134.png,0.9695142378559464,0.9408322496749024,0.9513477975016437,0.9883879781420765
415,images\351.png,0.9343832020997376,0.8768472906403941,0.9552772808586762,0.9143835616438356
416,images\1873.png,0.9435364041604755,0.8931082981715893,0.9687261632341724,0.9196234612599565
417,images\1646.png,0.8890995260663507,0.8003412969283277,0.8242530755711776,0.9650205761316872
418,images\629.png,0.9084577114427861,0.8322698268003647,0.8414746543778802,0.987027027027027
419,images\2428.png,0.8595787362086259,0.7537379067722075,0.7672336615935542,0.9771949828962372
420,images\2473.png,0.8764293618590926,0.7800393959290873,0.9883527454242929,0.7872763419483101
421,images\1846.png,0.8664142779881017,0.7643129770992366,0.9697336561743342,0.782991202346041
422,images\1895.png,0.7725030826140568,0.629331993972878,0.985837922895358,0.6350734921439433
423,images\2220.png,0.8602875909817149,0.7548286604361371,0.9539370078740157,0.783381829938571
424,images\1282.png,0.8957320367368989,0.8111545988258317,0.8450560652395515,0.9528735632183908
425,images\2368.png,0.7770064547558154,0.6353316072495518,0.783014236622484,0.7710901619531061
426,images\535.png,0.9583617747440273,0.9200524246395806,0.9512195121951219,0.9656121045392022
427,images\140.png,0.9474421864050455,0.9001331557922769,0.9481065918653576,0.9467787114845938
428,images\590.png,0.9407733724914341,0.8881700554528651,0.96875,0.9143672692673644
429,images\1296.png,0.7316176470588235,0.5768115942028985,0.5768115942028985,1.0
430,images\2920.png,0.5890973036342321,0.41753219775654343,0.4305912596401028,0.9322820037105751
431,images\402.png,0.9813953488372092,0.9634703196347032,0.9813953488372092,0.9813953488372092
432,images\472.png,0.9209383145091226,0.8534621578099839,0.9515260323159784,0.8922558922558923
433,images\2855.png,0.7979591836734694,0.6638370118845501,0.7757936507936508,0.8214285714285714
434,images\1515.png,0.8969359331476323,0.8131313131313131,0.9387755102040817,0.8586666666666667
435,images\1247.png,0.975609756097561,0.9523809523809523,0.9742120343839542,0.9770114942528736
436,images\2450.png,0.7578157565652355,0.6100671140939598,0.7417380660954712,0.7746058798466127
437,images\1333.png,0.9093264248704663,0.833729216152019,0.8357142857142857,0.9971590909090909
438,images\1582.png,0.8980679546968687,0.814993954050786,0.8403990024937655,0.9642346208869814
439,images\1897.png,0.9076803723816912,0.8309659090909091,0.9055727554179567,0.9097978227060654
440,images\967.png,0.8353591160220994,0.7172675521821632,0.7529880478087649,0.9379652605459057
441,images\971.png,0.950354609929078,0.9054054054054054,0.9220183486238532,0.9804878048780488
